ExpiryDate,OptionType,StrikePrice,OpenInterest,ChangeInOI,LTP,IV,OpenInterest_prev,IV_prev,OI_Daily_Change,IV_Daily_Change
25-Nov-2025,Put,23250,15.0,0.0,55.2,0.0,15.0,0.0,0.0,0.0
30-Dec-2025,Call,23250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30-Dec-2025,Put,23250,77.0,0.0,54.25,0.0,77.0,0.0,0.0,0.0
28-Oct-2025,Call,23300,37.0,-4.0,2702.8,117.11,41.0,0.0,-4.0,117.11
28-Oct-2025,Put,23300,2164.0,-397.0,1.6,80.54,2561.0,37.46,-397.0,43.080000000000005
04-Nov-2025,Call,23300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04-Nov-2025,Put,23300,134.0,12.0,4.4,32.61,122.0,24.34,12.0,8.27
11-Nov-2025,Call,23300,1.0,1.0,2803.5,33.65,0.0,0.0,1.0,33.65
11-Nov-2025,Put,23300,13.0,13.0,7.1,25.79,0.0,0.0,13.0,25.79
25-Nov-2025,Call,23300,76.0,62.0,2818.0,0.0,14.0,25.86,62.0,-25.86
25-Nov-2025,Put,23300,361.0,-187.0,11.25,20.44,548.0,18.94,-187.0,1.5
30-Dec-2025,Call,23300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30-Dec-2025,Put,23300,471.0,-9.0,28.85,17.27,480.0,17.39,-9.0,-0.120000000000001
28-Oct-2025,Call,23350,4.0,0.0,2546.55,0.0,4.0,0.0,0.0,0.0
28-Oct-2025,Put,23350,332.0,-206.0,1.3,77.37,538.0,36.12,-206.0,41.25000000000001
04-Nov-2025,Call,23350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04-Nov-2025,Put,23350,38.0,-11.0,3.25,30.85,49.0,25.63,-11.0,5.220000000000002
11-Nov-2025,Call,23350,1.0,1.0,2753.8,33.15,0.0,0.0,1.0,33.15
11-Nov-2025,Put,23350,2.0,0.0,22.6,0.0,2.0,0.0,0.0,0.0
25-Nov-2025,Call,23350,1.0,0.0,2547.45,0.0,1.0,0.0,0.0,0.0
25-Nov-2025,Put,23350,27.0,0.0,21.0,0.0,27.0,0.0,0.0,0.0
30-Dec-2025,Call,23350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30-Dec-2025,Put,23350,58.0,0.0,56.15,0.0,58.0,0.0,0.0,0.0
28-Oct-2025,Call,23400,7.0,-53.0,2590.0,98.53,60.0,68.44,-53.0,30.090000000000003
28-Oct-2025,Put,23400,3059.0,-135.0,1.65,77.96,3194.0,36.06,-135.0,41.89999999999999
04-Nov-2025,Call,23400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04-Nov-2025,Put,23400,180.0,75.0,4.9,31.95,105.0,24.09,75.0,7.859999999999999
11-Nov-2025,Call,23400,1.0,1.0,2704.45,32.72,0.0,0.0,1.0,32.72
11-Nov-2025,Put,23400,16.0,16.0,6.7,24.74,0.0,0.0,16.0,24.74
18-Nov-2025,Put,23400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25-Nov-2025,Call,23400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25-Nov-2025,Put,23400,469.0,-23.0,12.75,20.19,492.0,18.71,-23.0,1.4800000000000004
30-Dec-2025,Call,23400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30-Dec-2025,Put,23400,1615.0,3.0,31.0,17.01,1612.0,15.97,3.0,1.040000000000001
28-Oct-2025,Call,23450,1.0,0.0,2397.4,0.0,1.0,53.68,0.0,-53.68
28-Oct-2025,Put,23450,3336.0,5.0,1.45,75.46,3331.0,34.73,5.0,40.73
04-Nov-2025,Call,23450,2.0,1.0,2623.8,46.71,1.0,0.0,1.0,46.71
04-Nov-2025,Put,23450,20.0,19.0,3.7,30.26,1.0,0.0,19.0,30.26
11-Nov-2025,Call,23450,1.0,1.0,2654.55,32.18,0.0,0.0,1.0,32.18
11-Nov-2025,Put,23450,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18-Nov-2025,Put,23450,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25-Nov-2025,Call,23450,30.0,0.0,2510.9,0.0,30.0,0.0,0.0,0.0
25-Nov-2025,Put,23450,42.0,0.0,15.55,0.0,42.0,0.0,0.0,0.0
30-Dec-2025,Call,23450,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30-Dec-2025,Put,23450,37.0,0.0,48.85,0.0,37.0,0.0,0.0,0.0
28-Oct-2025,Call,23500,3277.0,-549.0,2524.0,125.09,3826.0,0.0,-549.0,125.09
28-Oct-2025,Put,23500,31255.0,-4142.0,1.3,73.18,35397.0,34.65,-4142.0,38.53000000000001
04-Nov-2025,Call,23500,5.0,4.0,2560.0,42.75,1.0,0.0,4.0,42.75
04-Nov-2025,Put,23500,5490.0,2815.0,4.4,30.39,2675.0,23.89,2815.0,6.5
11-Nov-2025,Call,23500,1.0,1.0,2604.7,31.65,0.0,0.0,1.0,31.65
11-Nov-2025,Put,23500,881.0,306.0,6.0,23.53,575.0,19.91,306.0,3.620000000000001
18-Nov-2025,Put,23500,103.0,40.0,8.15,20.62,63.0,18.32,40.0,2.3000000000000007
25-Nov-2025,Call,23500,2608.0,1376.0,2674.05,19.95,1232.0,0.0,1376.0,19.95
25-Nov-2025,Put,23500,9626.0,-199.0,11.25,19.15,9825.0,17.64,-199.0,1.509999999999998
30-Dec-2025,Call,23500,180.0,107.0,2830.9,0.0,73.0,0.0,107.0,0.0
30-Dec-2025,Put,23500,3816.0,-489.0,32.45,16.67,4305.0,16.1,-489.0,0.5700000000000003
28-Oct-2025,Call,23550,4.0,0.0,2254.4,0.0,4.0,0.0,0.0,0.0
28-Oct-2025,Put,23550,1801.0,65.0,1.6,73.43,1736.0,33.66,65.0,39.77000000000001
04-Nov-2025,Call,23550,2.0,1.0,2524.2,45.25,1.0,0.0,1.0,45.25
04-Nov-2025,Put,23550,75.0,62.0,4.55,29.97,13.0,22.73,62.0,7.239999999999998
11-Nov-2025,Call,23550,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11-Nov-2025,Put,23550,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18-Nov-2025,Put,23550,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25-Nov-2025,Call,23550,1.0,0.0,2351.85,0.0,1.0,0.0,0.0,0.0
25-Nov-2025,Put,23550,27.0,0.0,18.45,0.0,27.0,0.0,0.0,0.0
30-Dec-2025,Call,23550,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30-Dec-2025,Put,23550,47.0,0.0,50.25,0.0,47.0,16.89,0.0,-16.89
28-Oct-2025,Call,23600,55.0,-17.0,2430.5,124.73,72.0,0.0,-17.0,124.73
28-Oct-2025,Put,23600,3265.0,1449.0,1.5,71.5,1816.0,33.11,1449.0,38.39
04-Nov-2025,Call,23600,1.0,0.0,2263.2,0.0,1.0,0.0,0.0,0.0
04-Nov-2025,Put,23600,256.0,43.0,5.2,29.95,213.0,22.02,43.0,7.93
11-Nov-2025,Call,23600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11-Nov-2025,Put,23600,36.0,32.0,9.25,24.18,4.0,19.03,32.0,5.149999999999999
18-Nov-2025,Put,23600,6.0,0.0,20.1,0.0,6.0,0.0,0.0,0.0
25-Nov-2025,Call,23600,1.0,0.0,1819.75,0.0,1.0,0.0,0.0,0.0
25-Nov-2025,Put,23600,494.0,-42.0,14.6,19.31,536.0,17.79,-42.0,1.5199999999999996
30-Dec-2025,Call,23600,1.0,0.0,2580.0,0.0,1.0,0.0,0.0,0.0
30-Dec-2025,Put,23600,66.0,-1.0,47.7,17.53,67.0,16.44,-1.0,1.0899999999999999
28-Oct-2025,Call,23650,9.0,0.0,2360.0,109.43,9.0,0.0,0.0,109.43
28-Oct-2025,Put,23650,1131.0,180.0,1.65,70.83,951.0,33.07,180.0,37.76
04-Nov-2025,Call,23650,1.0,0.0,2207.75,0.0,1.0,0.0,0.0,0.0
04-Nov-2025,Put,23650,82.0,6.0,5.4,29.54,76.0,21.35,6.0,8.189999999999998
11-Nov-2025,Call,23650,1.0,1.0,2455.85,30.18,0.0,0.0,1.0,30.18
11-Nov-2025,Put,23650,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18-Nov-2025,Put,23650,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25-Nov-2025,Call,23650,1.0,0.0,2388.4,0.0,1.0,20.23,0.0,-20.23
25-Nov-2025,Put,23650,8.0,-1.0,14.9,19.05,9.0,17.41,-1.0,1.6400000000000006
30-Dec-2025,Call,23650,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30-Dec-2025,Put,23650,30.0,0.0,52.9,0.0,30.0,0.0,0.0,0.0
28-Oct-2025,Call,23700,11.0,-3.0,2289.95,88.03,14.0,0.0,-3.0,88.03
28-Oct-2025,Put,23700,4194.0,782.0,1.65,69.41,3412.0,31.57,782.0,37.839999999999996
04-Nov-2025,Call,23700,1.0,0.0,2159.15,0.0,1.0,0.0,0.0,0.0
